URL,Title,Author,Average Rating
https://www.goodreads.com/book/show/50225678-boyfriend-material?from_search=true&from_srp=true&qid=pO0QlnkieK&rank=1,Boyfriend Material,Alexis Hall,4.00
https://www.goodreads.com/book/show/44571368-smoke-bitten?from_search=true&from_srp=true&qid=vMlxzYDcJ9&rank=1,Smoke Bitten,Patricia Briggs,4.43
https://www.goodreads.com/book/show/52698452-the-book-of-longings?from_search=true&from_srp=true&qid=7GF9i8U2PL&rank=1,The Book of Longings,Sue Monk Kidd,4.23
https://www.goodreads.com/book/show/48570454-transcendent-kingdom?from_search=true&from_srp=true&qid=UEX2Fekig2&rank=1,Transcendent Kingdom,Yaa Gyasi,4.11
https://www.goodreads.com/book/show/52339313-cemetery-boys?from_search=true&from_srp=true&qid=ZPZqpuam2K&rank=1,Cemetery Boys,Aiden Thomas,4.26
https://www.goodreads.com/book/show/49353950-sweep-with-me?from_search=true&from_srp=true&qid=Iqz0rgZ9qN&rank=1,Sweep with Me,Ilona Andrews,4.39
https://www.goodreads.com/book/show/50088631-hidden-valley-road?from_search=true&from_srp=true&qid=d7ny1NsitV&rank=1,Hidden Valley Road: Inside the Mind of an American Family,Robert Kolker,4.16
https://www.goodreads.com/book/show/55361205-a-promised-land?from_search=true&from_srp=true&qid=dgFXG0Jd33&rank=1,A Promised Land,Barack Obama,4.33
https://www.goodreads.com/book/show/44654627-one-of-us-is-next?from_search=true&from_srp=true&qid=RqEknhnnlE&rank=1,One of Us Is Next,Karen M. McManus,3.91
https://www.goodreads.com/book/show/43557477-the-jane-austen-society?from_search=true&from_srp=true&qid=BwBmfZVBy4&rank=1,The Jane Austen Society,Natalie Jenner,3.73
https://www.goodreads.com/book/show/52166786-the-empire-of-gold?from_search=true&from_srp=true&qid=Gd1oqPnLex&rank=1,The Empire of Gold,S.A. Chakraborty,4.50
https://www.goodreads.com/book/show/44804083-come-tumbling-down?from_search=true&from_srp=true&qid=Li6MdYGKm7&rank=1,Come Tumbling Down,Seanan McGuire,3.91
https://www.goodreads.com/book/show/52180399-the-only-good-indians?from_search=true&from_srp=true&qid=RH0jy774sR&rank=1,The Only Good Indians,Stephen Graham Jones,3.69
https://www.goodreads.com/book/show/42952728-a-heart-so-fierce-and-broken?from_search=true&from_srp=true&qid=Likp9w9ZD8&rank=1,A Heart So Fierce and Broken,Brigid Kemmerer,3.89
https://www.goodreads.com/book/show/45134200-the-switch?from_search=true&from_srp=true&qid=zQl4Mw9pqA&rank=1,The Switch,Beth O'Leary,3.95
https://www.goodreads.com/book/show/50892360-black-sun?from_search=true&from_srp=true&qid=EGFUT9ERd8&rank=1,Black Sun,Rebecca Roanhorse,4.19
https://www.goodreads.com/book/show/51007311-heart-bones?from_search=true&from_srp=true&qid=vMekOIBRkf&rank=1,Heart Bones,Colleen Hoover,4.22
https://www.goodreads.com/book/show/51045613-deacon-king-kong?from_search=true&from_srp=true&qid=n0qC2ml3w6&rank=1,Deacon King Kong,James McBride,4.17
https://www.goodreads.com/book/show/49084724-credence?from_search=true&from_srp=true&qid=EHXT1Pst2P&rank=1,Credence,Penelope Douglas,3.68
https://www.goodreads.com/book/show/51807232-troubled-blood?from_search=true&from_srp=true&qid=yZYe9NeT93&rank=1,Troubled Blood,Robert Galbraith,4.38
https://www.goodreads.com/book/show/50262048-before-and-after?from_search=true&from_srp=true&qid=1BLzoi8Yp3&rank=1,Before and After,Andrew Shanahan,4.01
